"Season","Squad","Rk","Matches.played","Wins","Draws","Loses","Goals.for","Goals.against","Goal.difference","Points","Points.per.match","Expected.goals","Expected.goals.allowed","Expected.goals.difference","Expected.goals.difference.per.90.minutes","Attendance","Assists","Passes.completed","Passes.attempted","Short.passes.completed","Short.passes.attempted","Medium.passes.completed","Medium.passes.attempted","Long.passes.completed","Long.passes.attempted","Progressive.passes","Live.ball.passes","Dead.ball.passes","Passes.from.free.kicks","Through.balls","Switches","Crosses","Throw.in.taken","Corner.kicks","Corner.kicks.in","Corner.kicks.out","Corner.kicks.straight","Passes.offside","Passes.blocked","Passes.into.penalty.area","Shoots.total","Shoots.on.target","Average.shot.distance","Free.kick.shots","Shot.creating.actions","SCA.Live.ball.pass","SCA.Dead.ball.pass","SCA.Take.on","SCA.Shot","SCA.Fouls.drawn","SCA.Deffensive.action","Goal.creatiing.actions","GCA.Live.ball.pass","GCA.Dead.ball.pass","GCA.Take.on","GCA.Shot","GCA.Fouls.drawn","GCA.Deffensive.action","Penalty.kicks.attempted","Penalty.kicks.made","Tackles","Tackles.won","Tackles.def.3rd","Tackles.mid.3rd","Tackles.att.3rd","Dribblers.tackled","Dribblers.challenged","Challenges.lost","Blocks","Shots.blocked","Blocked.passes","Interceptions","Clearances","Errors","Ball.recoveries","Fouls.commited","Yellow.cards","Second.yellow.card","Red.cards","Own.goals","Cleansheets","Possession","Touches","Touches.def.pen","Touches.def.3rd","Touches.mid.3rd","Touches.att.3rd","Touches.att.pen","Takes.on.attempted","Takes.on.succesful","Times.tackled.during.take.on","Carries","Total.carrying.distance","Progressive.carrying.distance","Progressive.carries","Carries.into.final.third","Carreis.into.penalty.area","Miscontrols","Dispossessed","Fouls.drawn","Passes.recived","Progressive.passes.recived","Aerials.won","Aerial.lost","Age","Substitute.apperances","Matchehs.as.unused.sub"
"2021/2022","Burnley",18,"38","7","7","17","34","53","-19","35","0.92","39.7","57.1","-17.4","-0.46","19278","26","9454","14107","4297","5327","3306","4472","1457","3216","972","12275","1731","370","32","135","747","783","183","152","14","1","101","334","240","405","119","17.2","14","674","455","81","28","50","50","10","60","39","9","5","3","4","0","2","1","590","324","273","235","82","250","534","284","509","211","298","410","1000","887","2027","394","68","0","2","2","9","40.2","18371","2247","5842","8051","4686","663","479","258","221","8229","42272","19061","388","300","84","540","291","332","9342","958","827","733","28.5","96","244"
"2021/2022","Watford",19,"38","6","10","27","34","77","-43","23","0.61","40.0","64.5","-24.5","-0.64","20614","26","10423","14640","4505","5496","4270","5325","1330","2903","1070","12800","1787","394","35","101","610","808","161","90","50","4","53","317","213","397","123","18.1","24","693","475","59","48","43","52","16","57","36","5","4","7","3","2","2","1","614","356","341","213","60","278","626","348","440","148","292","444","1058","899","2154","442","63","3","3","3","4","40.7","19161","2469","7245","7827","4328","625","751","395","356","9428","51370","24863","557","380","148","639","389","352","10320","1057","711","749","28.4","106","234"
"2021/2022","Norwich City",20,"38","5","7","26","23","84","-61","22","0.58","32.3","75.5","-43.2","-1.14","26836","16","12164","16070","5578","6484","4912","5949","1369","2757","1031","14176","1839","474","50","153","568","766","165","90","60","2","55","306","226","370","104","19.0","18","637","435","67","41","33","50","11","35","27","2","1","1","3","1","3","3","614","368","322","242","50","297","714","417","450","180","270","381","995","860","1887","356","57","1","1","2","6","42.9","20234","2911","8245","8047","4167","601","581","298","283","11136","60854","30074","566","356","126","548","313","431","12047","1018","493","598","26.2","114","227"
"2020/2021","Manchester City",1,"38","27","5","6","83","32","+51","86","2.26","68.2","30.2","+38.0","+1.00","526","55","23819","27167","11548","12409","9673","10628","1771","2616","2051","25546","1564","423","38","146","632","656","247","73","86","4","57","320","412","590","211","17.2","21","1067","801","61","90","57","43","15","141","100","3","17","13","6","2","9","5","498","271","198","212","88","234","576","342","310","82","228","319","817","453","1946","361","46","0","2","1","19","63.5","30700","1912","6477","15960","8504","1196","783","485","298","20039","106424","59443","1096","863","340","510","350","372","23640","2033","479","417","26.1","77","240"
"2020/2021","Manchester Utd",2,"38","21","6","6","73","44","+29","74","1.95","60.1","41.4","+18.6","+0.49","526","51","18800","22624","9248","10259","7258","8255","1597","2585","1832","20810","1738","433","34","211","640","760","197","83","87","4","76","401","377","515","196","18.1","21","953","720","73","46","58","46","10","127","94","5","8","9","9","2","11","10","551","311","252","239","60","231","572","341","418","116","302","386","937","634","2124","452","64","0","1","2","13","55.7","26617","2222","7609","11950","7323","921","711","415","293","15481","88886","47495","877","666","201","536","360","400","18671","1817","546","413","25.6","99","219"
"2020/2021","Liverpool",3,"38","20","6","9","68","42","+26","69","1.82","67.5","43.0","+24.5","+0.65","837","43","21929","26226","10789","11862","8747","9940","1715","2969","2057","24396","1765","409","44","156","862","811","257","51","147","2","65","357","524","602","204","17.1","22","1068","818","71","58","61","46","14","110","77","6","4","14","6","3","6","6","526","303","195","231","100","220","543","323","338","58","280","347","873","563","2202","396","40","0","0","0","12","62.1","30073","2075","7215","14867","8242","1211","696","407","288","19103","96220","50778","886","754","249","592","387","316","21796","2041","537","572","26.8","104","212"
"2020/2021","Chelsea",4,"38","19","14","9","58","36","+22","67","1.76","62.4","30.3","+32.1","+0.85","526","38","21969","25799","10454","11454","8965","9976","1667","2703","1798","24055","1665","402","29","154","749","732","226","77","113","2","79","362","377","546","193","17.1","16","1018","790","81","42","55","43","7","95","69","6","4","6","10","0","10","8","612","341","257","282","73","231","570","339","420","83","337","382","994","661","1999","433","51","1","3","1","18","60.9","29889","2502","8879","13917","7308","1017","657","359","298","17523","90661","48291","895","663","243","585","286","364","21851","1787","569","515","26.0","108","208"
"2020/2021","Leicester City",5,"38","20","10","12","68","50","+18","66","1.74","55.8","46.0","+9.8","+0.26","421","45","17014","21216","7893","8978","7010","8113","1461","2737","1464","19423","1722","474","35","92","649","738","212","61","85","5","71","376","283","473","170","18.6","20","863","635","49","56","46","54","23","114","85","3","8","4","10","4","12","10","681","403","319","263","99","295","676","381","386","90","296","438","1119","685","2111","413","61","0","0","2","11","54.3","25365","2268","7924","11997","5674","772","645","358","287","13991","72340","37072","666","481","142","549","322","421","16883","1455","600","590","26.5","99","216"
"2020/2021","West Ham",6,"38","19","8","11","62","47","+15","65","1.71","55.4","48.7","+6.7","+0.18","632","46","12725","16901","5888","6864","4948","6052","1470","2860","1282","15140","1687","398","15","109","775","741","167","92","60","1","74","357","238","464","158","16.1","17","823","576","92","37","56","53","9","106","73","12","1","13","7","0","4","2","514","280","269","195","50","224","573","349","405","124","281","437","951","779","2005","375","50","1","3","4","11","43.2","20810","2294","6638","9343","5060","761","542","298","244","10960","63334","30416","658","455","152","491","318","354","12606","1263","738","677","27.8","99","214"
"2020/2021","Tottenham",7,"38","18","7","12","68","45","+23","62","1.63","53.1","49.1","+4.0","+0.10","632","50","16508","20571","7801","8828","6561","7603","1393","2672","1330","18738","1788","524","28","147","526","750","168","117","37","0","45","361","257","438","167","18.0","35","786","553","55","56","49","56","17","120","86","6","13","8","6","1","5","5","636","361","313","244","79","277","683","406","434","147","287","342","978","795","1951","440","57","2","2","3","12","51.6","24670","2577","7991","11935","4997","700","715","403","312","13842","73058","37183","633","506","152","519","334","468","16404","1316","618","647","27.2","112","204"
"2020/2021","Arsenal",8,"38","18","6","13","55","39","+16","61","1.61","51.8","43.0","+8.8","+0.23","632","38","18041","21807","8319","9236","7770","8814","1453","2621","1760","20122","1624","440","34","133","751","663","207","86","64","12","61","311","325","453","140","17.7","23","813","623","44","49","45","46","6","95","69","2","8","6","8","2","6","6","456","252","206","184","66","212","547","335","368","113","255","351","807","643","1838","346","49","1","5","4","12","53.5","25431","2426","7970","11384","6240","910","535","296","239","15543","83237","45097","758","499","195","511","260","400","17924","1748","504","594","25.9","114","201"
"2020/2021","Leeds United",9,"38","18","14","15","62","54","+8","59","1.55","55.6","57.9","-2.2","-0.06","421","45","16284","20629","6970","7933","7130","8308","1631","3014","1633","18658","1895","467","27","205","786","809","229","115","78","1","76","364","349","518","193","16.9","9","924","701","73","45","63","31","11","108","81","6","8","8","5","0","4","4","740","417","378","279","83","310","769","459","406","149","257","397","1137","646","2160","432","61","0","1","2","12","57.3","24873","2750","9043","10345","5695","880","563","318","245","14066","80443","44866","811","491","158","667","319","410","16154","1625","538","605","26.1","107","209"
"2020/2021","Everton",10,"38","17","7","13","47","48","-1","59","1.55","45.7","50.1","-4.5","-0.12","368","32","14792","18696","6563","7438","6125","7073","1580","2924","1184","17021","1610","426","28","121","662","660","167","93","53","3","65","362","257","395","143","17.2","15","710","514","67","34","43","46","6","80","54","9","2","10","5","0","5","4","640","381","325","242","73","266","664","398","458","157","301","392","1032","847","2030","386","59","0","2","1","12","46.4","22845","2729","8235","10258","4585","643","591","362","229","12603","70612","36337","604","443","105","552","344","392","14706","1177","665","486","26.3","106","206"
"2020/2021","Aston Villa",11,"38","16","12","15","55","46","+9","55","1.45","52.5","51.1","+1.4","+0.04","526","38","12938","16996","5729","6654","5222","6209","1571","3074","1420","15003","1922","590","12","127","779","780","213","106","39","15","71","275","323","514","178","17.3","16","940","670","91","63","47","58","11","94","66","8","4","6","9","1","6","5","530","282","262","202","66","250","571","321","438","159","279","387","917","783","1906","439","71","4","4","1","15","48.5","21113","2577","6973","8614","5759","947","595","369","223","11291","60378","30659","629","463","226","579","337","553","12832","1403","728","665","25.2","91","229"
"2020/2021","Newcastle Utd",12,"38","12","11","17","46","62","-16","45","1.18","43.4","58.3","-14.9","-0.39","526","26","10839","14709","4828","5635","4197","5131","1387","2879","903","12864","1787","464","12","122","652","724","161","67","51","20","58","321","207","390","130","18.3","25","688","454","85","51","36","56","6","75","46","7","6","7","7","2","7","6","512","268","257","213","42","207","547","340","423","160","263","362","874","908","1770","388","65","2","3","3","7","38.8","18774","2524","7166","7894","3941","552","587","350","237","9605","51309","24707","467","376","114","519","297","420","10730","888","634","655","27.1","109","209"
"2020/2021","Wolves",13,"38","12","8","17","36","52","-16","45","1.18","36.5","49.5","-13.0","-0.34","237","21","15548","19225","6990","7796","6320","7342","1742","2944","1283","17437","1751","444","20","141","775","735","208","65","70","3","37","336","213","459","149","18.5","18","821","572","74","68","47","46","14","63","39","4","7","7","5","1","4","4","588","335","322","220","46","277","611","334","359","117","242","432","1020","727","1899","426","55","1","1","3","10","49.3","23259","2190","7246","11020","5206","694","779","468","311","13272","72908","38578","800","566","177","592","309","383","15405","1266","576","596","26.3","106","204"
"2020/2021","Crystal Palace",14,"38","12","7","18","41","66","-25","44","1.16","34.1","58.2","-24.2","-0.64","447","29","11627","15597","5889","6882","4127","5088","1131","2449","1132","13707","1823","473","8","47","533","772","151","67","29","27","67","351","232","345","127","17.6","18","618","433","54","52","23","46","10","70","49","5","6","3","5","2","4","3","636","366","329","234","73","283","620","337","447","138","309","396","1032","774","1923","409","56","1","2","0","8","40.6","19798","2193","6917","8697","4410","653","645","365","280","10226","56545","26885","526","388","151","596","402","436","11524","1113","685","658","29.1","95","208"
"2020/2021","Southampton",15,"38","12","6","19","47","68","-21","43","1.13","41.2","53.1","-11.8","-0.31","526","33","14928","19288","7587","8659","5629","6690","1099","2547","1195","17388","1824","496","16","87","554","809","177","82","79","8","76","343","261","418","157","18.6","20","728","513","63","42","47","51","12","83","49","8","6","7","11","2","6","5","727","419","335","325","67","341","731","390","439","95","344","401","1128","681","2010","428","52","0","3","1","9","52.0","23607","2302","7497","11566","4756","698","601","343","258","12535","66172","33536","626","517","126","638","386","421","14818","1190","527","713","26.6","101","215"
"2020/2021","Brighton",16,"38","9","11","15","40","46","-6","41","1.08","50.9","35.3","+15.6","+0.41","523","24","15772","19871","6694","7654","6893","7960","1689","3090","1516","18111","1708","404","17","164","686","769","219","71","107","2","52","313","358","478","134","17.4","15","847","628","75","34","55","42","13","63","47","6","1","4","5","0","9","6","628","334","297","251","80","252","603","351","417","97","320","425","1053","604","2040","428","49","2","6","2","12","51.1","23756","2489","7928","10231","5828","885","573","350","222","13491","73709","37608","685","468","131","549","306","357","15634","1495","531","574","25.8","108","208"
"2020/2021","Burnley",17,"38","10","12","19","33","55","-22","39","1.03","39.3","54.7","-15.4","-0.40","178","20","10825","15562","5117","6058","3688","4824","1553","3535","1012","13737","1745","461","10","110","772","721","172","154","5","1","80","263","292","381","124","17.4","15","666","471","71","28","36","51","9","52","32","6","4","3","5","2","3","3","507","293","241","203","63","229","564","335","440","180","260","416","923","824","2000","384","48","0","0","1","11","42.1","19391","2181","5794","9081","4683","699","403","234","170","9240","46385","20946","389","340","75","503","278","389","10755","1002","874","854","28.3","81","235"
"2020/2021","Fulham",18,"38","5","7","20","27","53","-26","28","0.74","40.5","52.6","-12.1","-0.32","211","18","15401","19512","6853","7837","6528","7611","1529","2866","1354","17703","1766","469","17","109","710","784","164","54","73","15","43","346","290","436","125","18.3","12","785","579","65","53","35","47","6","47","33","2","4","3","4","1","6","3","601","329","282","231","88","254","581","327","356","95","261","437","1038","794","2010","484","67","0","3","1","9","49.7","23810","2407","8063","10438","5567","728","795","506","289","13417","74354","37397","727","527","156","721","393","372","15290","1338","649","625","25.2","110","203"
"2020/2021","West Brom",19,"38","5","10","22","35","76","-41","26","0.68","35.8","67.9","-32.0","-0.84","283","20","9769","13978","4418","5278","3696","4783","1273","2924","1027","12147","1756","463","13","105","604","727","144","75","21","16","75","275","196","335","106","18.4","16","568","407","60","26","27","39","9","53","40","3","1","3","5","1","4","4","581","328","329","192","60","271","656","385","455","159","296","435","1016","876","1963","404","51","0","4","3","6","37.9","18247","2539","6670","7517","4237","578","505","264","241","8262","44861","21527","441","283","103","613","313","412","9668","1017","709","771","26.4","104","211"
"2020/2021","Sheffield Utd",20,"38","7","7","29","20","63","-43","23","0.61","32.6","62.2","-29.6","-0.78","263","13","12146","16264","6006","6905","4331","5303","1277","2840","1196","14542","1649","347","13","115","666","750","170","118","29","4","73","308","253","319","92","17.7","5","567","435","48","27","29","23","5","27","16","3","2","3","3","0","4","3","634","356","325","239","70","294","720","426","442","152","290","351","985","839","1802","459","73","0","3","3","5","41.7","20351","2314","6405","8599","5537","615","475","269","207","10178","54344","27029","491","398","104","536","323","293","12037","1183","718","798","26.7","103","198"
"2019/2020","Liverpool",1,"38","32","5","3","85","33","+52","99","2.61","68.9","37.7","+31.2","+0.82","41955","69","21276","25891","9557","10648","9007","10345","2038","3458","1941","23952","1886","440","68","283","896","879","257","63","125","2","53","343","477","586","224","16.5","20","1044","800","77","60","54","36","17","148","108","11","10","9","8","2","5","5","550","325","195","243","112","217","588","371","302","68","234","352","902","634","2194","331","38","0","1","1","15","62.9","29748","2077","7168","14888","7908","1193","658","387","271","20165","94607","50195","967","782","252","607","306","293","21151","1925","655","588","26.6","127","157"
"2019/2020","Manchester City",2,"38","26","6","9","102","35","+67","81","2.13","92.0","36.2","+55.7","+1.47","37097","69","24557","28190","11773","12714","9821","10885","2121","2963","2460","26549","1573","352","85","243","915","684","298","113","54","7","68","329","553","735","250","16.4","27","1356","1040","72","101","75","53","15","173","123","6","16","14","12","2","11","6","514","301","204","210","100","230","605","375","292","66","226","352","866","495","1959","362","64","2","4","1","17","66.2","31884","2009","6806","15609","9720","1473","721","487","235","23022","118327","66426","1199","964","377","456","341","296","24428","2453","515","498","26.9","120","166"
"2019/2020","Manchester Utd",3,"38","18","6","8","66","36","+30","66","1.74","62.2","37.7","+24.5","+0.64","57415","43","17744","21725","8697","9751","6891","7957","1555","2646","1788","19836","1833","466","64","171","635","822","204","86","63","11","56","381","341","530","201","19.1","33","978","766","50","62","36","56","8","112","86","4","7","2","12","1","14","10","579","333","267","231","81","254","634","380","360","99","261","379","958","703","2084","423","73","0","0","1","13","55.8","25838","2167","7222","11840","6993","878","747","446","301","14498","83016","46282","926","681","255","559","396","427","17632","1779","557","512","24.8","119","165"
"2019/2020","Chelsea",4,"38","20","14","12","69","54","+15","66","1.74","69.2","38.6","+30.6","+0.81","32023","46","20958","25213","9753","10903","8527","9698","1843","2989","1897","23308","1842","401","61","215","862","876","247","106","82","2","63","361","411","618","210","16.6","29","1121","847","86","57","64","52","15","123","86","6","10","9","10","2","7","7","638","362","304","258","76","246","604","358","361","91","270","459","1097","631","2210","386","60","0","0","3","9","60.4","29489","2281","8311","13996","7423","1063","718","460","258","18488","98638","51643","983","725","222","583","414","384","20848","1880","703","701","25.5","117","166"
"2019/2020","Leicester City",5,"38","18","10","12","67","41","+26","62","1.63","62.2","45.5","+16.7","+0.44","25312","48","17600","21800","8018","9016","7415","8600","1655","2913","1612","19817","1919","495","68","126","779","883","221","70","100","7","64","368","313","533","183","17.4","20","969","707","73","75","48","56","10","116","91","3","11","4","5","2","7","5","742","432","347","320","75","298","725","427","420","92","328","423","1165","767","2104","418","43","1","3","2","13","57.1","26247","2187","7814","12226","6415","925","688","377","311","16018","77180","39583","739","561","223","602","328","444","17485","1601","659","674","26.1","112","172"
"2019/2020","Tottenham",6,"38","16","8","11","61","47","+14","59","1.55","47.9","54.2","-6.3","-0.17","43757","39","16101","20296","7859","8877","6303","7463","1350","2655","1410","18404","1826","464","79","113","641","785","200","116","51","1","66","344","283","440","154","18.4","21","779","589","43","54","37","38","18","94","62","3","13","10","4","2","4","3","665","415","331","281","53","253","681","428","441","148","293","381","1046","894","2022","423","84","1","3","2","8","52.0","24729","2568","7603","11826","5549","710","747","449","297","15489","76394","39387","768","573","182","577","437","424","15997","1398","642","671","26.7","113","171"
"2019/2020","Wolves",7,"38","15","7","9","51","40","+11","59","1.55","54.1","38.0","+16.1","+0.42","24758","34","14298","18474","5979","6942","5777","6928","1985","3308","1338","16650","1775","405","40","203","718","816","193","55","80","0","49","323","223","457","142","17.4","13","801","541","70","79","47","46","18","83","53","6","9","8","7","0","4","4","646","367","358","227","61","281","685","404","378","109","269","437","1083","702","2113","407","61","2","2","1","13","48.3","22660","1987","6969","10797","5105","779","817","509","308","11543","66813","36391","858","559","229","540","338","360","14176","1320","775","711","26.6","97","187"
"2019/2020","Arsenal",8,"38","14","6","10","56","48","+8","56","1.47","47.0","55.3","-8.3","-0.22","47589","35","16634","20410","7259","8103","7300","8331","1596","2772","1641","18463","1874","487","67","153","699","756","231","96","71","3","73","320","311","403","146","16.4","19","709","501","59","52","48","33","16","85","57","5","4","9","4","6","3","3","584","336","296","217","71","249","612","363","398","141","257","351","935","754","1861","421","88","1","5","0","10","53.8","24424","2737","8368","10648","5628","821","697","411","286","14410","85069","46708","815","534","209","547","370","437","16527","1630","501","589","25.8","123","163"
"2019/2020","Sheffield Utd",9,"38","14","14","12","39","39","0","54","1.42","43.0","51.0","-7.9","-0.21","24370","25","12125","16858","5714","6687","4480","5657","1579","3404","1352","14962","1818","375","15","206","866","882","212","150","18","18","78","341","282","352","109","15.2","4","630","457","62","44","38","23","6","63","47","3","6","6","1","0","1","1","611","377","304","229","78","261","646","385","336","106","230","420","1031","931","2041","412","63","1","2","0","13","43.1","21000","2180","6190","8918","6070","733","535","346","187","9508","48303","23773","493","375","116","519","292","306","12015","1334","946","886","26.9","110","171"
"2019/2020","Burnley",10,"38","15","7","14","43","50","-7","54","1.42","47.4","49.8","-2.4","-0.06","15995","30","10049","14694","4700","5595","3686","4854","1295","3221","890","12767","1838","408","29","99","743","868","170","158","1","0","89","287","217","384","124","16.4","18","667","459","83","27","44","45","9","71","47","10","4","6","3","1","3","3","547","344","238","241","68","240","585","345","450","175","275","387","934","901","1860","412","67","0","0","1","15","41.9","18827","2224","5596","8993","4410","617","454","246","208","8828","46545","21653","437","352","71","509","291","369","9969","882","937","917","28.0","74","206"
"2019/2020","Southampton",11,"38","15","12","16","51","60","-9","52","1.37","56.1","52.8","+3.3","+0.09","23428","32","12488","17468","5869","7035","5027","6478","1240","2921","1335","15450","1960","448","27","133","690","950","210","106","87","5","58","331","282","494","171","17.8","27","843","560","74","70","53","60","26","77","41","3","15","8","7","3","5","2","706","416","325","287","94","324","793","469","488","124","364","425","1131","867","2150","450","55","1","4","1","9","48.9","22200","2123","6196","10753","5497","811","680","423","257","10579","58592","29795","628","459","182","654","362","388","12363","1308","810","878","25.9","111","171"
"2019/2020","Everton",12,"38","13","11","15","44","56","-12","49","1.29","50.8","48.3","+2.5","+0.07","28848","32","13433","17736","5670","6722","5545","6642","1728","3126","1430","15790","1888","463","55","165","804","853","203","105","80","2","58","362","288","468","159","16.4","20","805","536","86","47","69","51","16","67","47","4","4","9","3","0","1","1","671","408","328","262","81","282","672","390","372","111","261","408","1079","778","1966","472","76","3","3","3","9","49.0","22035","2514","7389","9561","5301","838","609","374","235","12432","65428","32588","623","502","146","593","345","394","13344","1421","860","835","25.5","120","164"
"2019/2020","Newcastle Utd",13,"38","11","8","16","38","58","-20","44","1.16","35.5","65.6","-30.1","-0.79","35551","29","10606","14566","4963","5792","3781","4800","1351","2818","844","12726","1765","463","18","151","591","715","151","68","45","13","75","304","181","398","132","19.1","14","705","491","75","55","38","37","9","62","41","6","4","6","4","1","1","0","603","357","364","198","41","273","632","359","402","152","250","391","994","988","1871","370","66","0","3","2","11","39.0","18910","2401","7096","8182","3875","542","674","400","274","9916","54616","27300","537","426","138","594","288","423","10525","826","733","781","26.5","118","166"
"2019/2020","Crystal Palace",14,"38","11","7","17","31","50","-19","43","1.13","35.8","57.0","-21.2","-0.56","19784","20","12274","16395","5857","6822","4679","5712","1307","2747","1223","14377","1965","501","19","79","588","886","177","93","32","36","53","318","243","373","115","17.0","15","643","427","68","57","36","46","9","53","37","3","4","4","5","0","3","3","686","390","367","244","75","316","711","395","399","135","264","444","1130","856","1915","424","62","0","2","2","10","44.8","20928","2377","7276","9017","4876","793","698","432","266","10305","58519","29301","596","428","198","611","479","479","12187","1208","771","776","29.4","98","185"
"2019/2020","Brighton",15,"38","9","6","15","39","54","-15","41","1.08","45.4","55.0","-9.5","-0.25","22369","24","15881","20056","6755","7803","7139","8265","1701","3003","1675","18194","1791","394","34","200","689","853","178","78","78","0","71","365","294","460","139","17.6","11","804","599","73","39","48","40","5","65","44","9","5","2","5","0","2","1","641","379","295","269","77","245","642","397","437","137","300","419","1060","750","2065","386","59","1","2","2","9","52.2","24387","2721","8174","10724","5693","770","584","335","249","13074","73950","37898","669","502","165","626","399","325","15782","1661","690","577","26.4","128","155"
"2019/2020","West Ham",16,"38","10","11","19","49","62","-13","39","1.03","48.6","63.8","-15.2","-0.40","44155","36","12451","16861","6048","7124","4538","5680","1515","2997","1377","14967","1828","432","38","156","737","815","190","111","54","6","66","358","244","413","156","16.4","13","735","514","78","42","42","47","12","89","62","7","5","7","8","0","4","4","696","417","374","263","59","300","745","445","383","117","266","421","1117","789","2052","387","64","1","1","3","7","44.1","20992","2159","6259","9681","5265","746","663","397","264","11154","62359","30132","666","485","168","496","322","345","12348","1370","855","801","27.4","107","177"
"2019/2020","Aston Villa",17,"38","9","12","21","41","67","-26","35","0.92","44.3","67.8","-23.5","-0.62","28505","32","11652","15672","5074","5895","4810","5882","1480","3002","1247","13604","2006","562","17","153","798","797","200","109","34","8","62","307","270","453","147","17.5","21","828","599","88","42","36","56","7","72","48","8","5","4","7","0","3","1","523","291","285","174","64","223","597","374","456","184","272","423","946","928","1900","451","70","1","1","1","7","44.1","19977","2658","7038","8203","4969","695","569","352","217","10317","61373","31557","639","476","139","546","313","525","11546","1229","705","742","25.7","113","173"
"2019/2020","Bournemouth",18,"38","9","7","22","40","65","-25","34","0.89","44.8","62.3","-17.5","-0.46","7745","24","12042","16387","5798","6832","4689","5821","1231","2655","1256","14488","1832","450","28","92","646","790","194","104","57","0","67","390","227","385","117","17.3","21","669","472","69","34","39","47","8","63","36","6","7","8","6","0","4","4","507","299","254","206","47","207","567","360","439","160","279","475","982","1008","1979","369","78","2","3","0","5","44.1","20872","2556","7472","8683","4916","717","602","325","277","12070","62723","31212","601","424","136","571","384","388","11946","1238","792","835","25.2","108","176"
