"Season","Squad","Rk","Attendance.....length..","Assists","Passes.completed","Passes.attempted","Short.passes.completed","Short.passes.attempted","Medium.passes.completed","Medium.passes.attempted","Long.passes.completed","Long.passes.attempted","Progressive.passes","Live.ball.passes","Dead.ball.passes","Passes.from.free.kicks","Through.balls","Switches","Crosses","Throw.in.taken","Corner.kicks","Corner.kicks.in","Corner.kicks.out","Corner.kicks.straight","Passes.offside","Passes.blocked","Passes.into.penalty.area","Shoots.total","Shoots.on.target","Average.shot.distance","Free.kick.shots","Shot.creating.actions","SCA.Live.ball.pass","SCA.Dead.ball.pass","SCA.Take.on","SCA.Shot","SCA.Fouls.drawn","SCA.Deffensive.action","Goal.creatiing.actions","GCA.Live.ball.pass","GCA.Dead.ball.pass","GCA.Take.on","GCA.Shot","GCA.Fouls.drawn","GCA.Deffensive.action","Penalty.kicks.attempted","Penalty.kicks.made","Tackles","Tackles.won","Tackles.def.3rd","Tackles.mid.3rd","Tackles.att.3rd","Dribblers.tackled","Dribblers.challenged","Challenges.lost","Blocks","Shots.blocked","Blocked.passes","Interceptions","Clearances","Errors","Ball.recoveries","Fouls.commited","Yellow.cards","Second.yellow.card","Red.cards","Own.goals","Cleansheets","Possession","Touches","Touches.def.pen","Touches.def.3rd","Touches.mid.3rd","Touches.att.3rd","Touches.att.pen","Takes.on.attempted","Takes.on.succesful","Times.tackled.during.take.on","Carries","Total.carrying.distance","Progressive.carrying.distance","Progressive.carries","Carries.into.final.third","Carreis.into.penalty.area","Miscontrols","Dispossessed","Fouls.drawn","Passes.recived","Progressive.passes.recived","Aerials.won","Aerial.lost","Age","Substitute.apperances","Matchehs.as.unused.sub"
"2023/2024","Liverpool",1,140,"34","10850","13036","5012","5541","4653","5289","937","1585","1118","11978","1008","245","55","83","393","444","138","46","80","0","50","189","255","388","130","17.9","9","691","512","64","26","57","26","6","74","59","3","3","6","3","0","6","4","358","217","150","147","61","181","424","243","262","65","197","167","525","360","1172","252","40","1","4","1","8","60.2","15464","1279","4236","7361","4002","692","429","182","202","9492","48414","25540","475","363","141","333","215","217","10765","1108","334","244","27.2","91","98"
"2023/2024","Manchester City",2,140,"35","12500","14113","6202","6604","5066","5501","928","1382","1007","13277","813","240","58","68","333","306","141","39","38","2","23","198","235","333","130","17.2","15","618","483","33","33","32","31","6","83","61","2","8","7","5","0","5","4","273","156","110","121","42","126","246","120","186","44","142","119","392","259","928","178","37","1","2","1","5","64.1","16020","1177","3740","7531","4848","660","367","201","122","10464","54551","30314","564","420","186","242","166","219","12356","997","159","140","27.1","56","118"
"2023/2024","Arsenal",3,140,"27","10841","12778","5247","5760","4641","5183","725","1290","1200","11862","871","247","57","42","413","311","164","135","1","0","45","174","274","340","105","16.1","2","624","478","49","32","39","18","8","71","41","10","5","7","8","0","6","6","347","193","143","145","59","168","306","138","242","63","179","162","509","257","1004","202","32","1","2","0","8","60.3","14926","1066","3785","6461","4779","763","383","157","176","9594","46961","23957","465","306","168","290","226","227","10732","1187","264","276","25.4","84","105"
"2023/2024","Aston Villa",4,140,"30","9090","10939","3990","4458","4174","4700","763","1328","887","9898","1022","369","38","67","390","363","129","83","5","2","19","196","217","305","106","16.5","8","545","405","45","24","44","19","8","74","53","5","4","4","6","2","4","4","318","183","156","127","35","156","310","154","204","49","155","146","464","318","959","231","59","0","1","2","5","55.2","13054","1407","4258","5651","3269","615","438","190","185","8134","44673","23837","458","274","129","267","234","270","8899","878","201","216","27.4","82","104"
"2023/2024","Tottenham",5,140,"36","11011","12876","5569","6047","4439","4946","666","1147","1119","11741","1085","372","60","40","368","384","120","49","36","1","50","246","246","335","122","16.7","6","604","456","41","32","40","20","15","74","58","5","5","2","2","2","1","1","428","265","214","146","68","215","411","196","259","84","175","184","612","424","1082","223","57","2","4","2","5","59.3","15399","1651","4988","6507","4056","744","480","214","215","9526","49571","25464","523","332","201","311","216","300","10916","1113","188","213","25.8","89","98"
"2023/2024","West Ham",6,140,"25","6955","9078","3279","3709","2702","3225","755","1542","662","8093","944","225","37","93","342","386","92","55","34","0","41","224","127","235","82","15.6","8","418","276","56","29","23","23","11","60","40","6","4","6","2","2","3","2","367","236","192","136","39","167","317","150","285","104","181","211","578","524","1035","223","50","2","2","1","5","40.7","11541","1482","4145","5063","2441","425","361","177","146","6309","33035","15481","288","200","89","282","209","210","6891","652","320","352","28.9","57","132"
"2023/2024","Brighton",7,140,"28","12434","14208","6338","6843","4915","5408","787","1250","1083","13267","895","275","36","42","342","309","110","45","35","0","46","155","238","315","126","16.6","9","574","428","46","29","40","24","7","67","47","3","7","4","5","1","4","4","327","192","145","130","52","146","343","197","230","76","154","165","492","330","1005","229","52","0","2","2","2","61.6","16481","1735","5115","7632","3842","650","418","161","206","10632","52613","27882","497","301","159","308","206","253","12288","1076","236","196","26.8","98","91"
"2023/2024","Manchester Utd",8,140,"16","8880","11066","4270","4855","3484","4079","821","1468","910","10040","969","216","40","71","401","410","134","40","57","7","57","223","206","289","87","16.8","9","516","389","38","31","30","18","10","43","31","2","3","2","2","3","3","2","363","221","169","136","58","191","390","199","271","93","178","155","518","470","1092","219","51","1","1","1","6","52.0","13438","1472","4339","5526","3694","556","397","172","172","7829","41903","22133","420","277","149","279","194","198","8777","902","250","260","27.0","85","104"
"2023/2024","Chelsea",9,140,"21","10979","12831","5413","5894","4476","4981","801","1321","890","11843","938","279","65","57","315","357","107","27","39","3","50","194","205","278","91","17.1","13","506","370","33","39","23","26","15","61","41","3","5","3","7","2","8","7","371","218","181","131","59","175","349","174","234","79","155","165","536","403","1049","265","70","2","3","0","5","59.0","15188","1608","5043","6523","3771","599","488","213","213","9394","46662","24486","491","304","157","346","215","250","10906","879","248","199","25.1","81","107"
"2023/2024","Newcastle Utd",10,140,"28","9336","11308","4472","4957","3876","4417","774","1383","876","10327","947","281","40","68","336","359","99","31","30","9","34","188","218","289","104","15.5","5","518","377","28","43","34","26","10","69","43","3","10","5","6","2","4","4","358","220","182","132","44","160","383","223","275","89","186","153","511","353","1044","221","51","0","0","0","7","53.3","13581","1345","4435","5949","3325","586","403","196","150","7960","41900","20426","379","294","116","277","229","261","9270","871","236","214","27.9","78","111"
"2023/2024","Wolves",11,140,"24","7989","10103","3973","4498","3128","3655","674","1420","642","9124","934","253","37","70","318","372","91","44","27","7","45","170","138","237","85","16.5","5","409","275","40","37","28","21","8","52","33","5","6","4","2","2","1","1","404","234","237","130","37","170","327","157","272","97","175","178","582","474","1140","271","58","2","3","1","4","46.9","12535","1495","4651","5446","2597","424","477","244","183","7010","39093","20069","376","279","98","308","212","231","7914","629","261","241","27.3","79","110"
"2023/2024","Bournemouth",12,140,"20","6411","8447","2679","3118","2850","3343","732","1508","653","7464","954","220","27","55","338","415","118","93","2","3","29","183","184","265","90","16.5","8","463","337","36","35","24","16","15","46","33","1","3","3","2","4","1","1","377","216","176","145","56","175","369","194","262","91","171","187","564","410","1079","252","36","0","1","1","5","44.0","10954","1343","3734","4550","2809","509","483","221","218","5900","35321","17989","337","266","103","334","219","197","6346","646","266","332","26.2","89","99"
"2023/2024","Fulham",13,140,"17","9275","11386","4107","4592","4030","4582","898","1581","805","10384","966","264","37","73","360","398","103","29","46","0","36","232","178","242","85","18.4","11","422","310","34","25","31","16","6","47","37","2","1","5","2","0","2","2","378","213","188","137","53","193","377","184","239","60","179","249","627","398","1073","207","50","2","3","3","5","49.9","13652","1420","4644","6058","3087","406","319","160","133","7994","42408","21212","352","275","77","302","189","216","9200","797","256","242","29.3","95","93"
"2023/2024","Brentford",14,140,"18","7343","9566","3271","3792","3190","3830","728","1477","727","8603","930","245","39","70","364","378","98","47","23","4","33","166","167","264","78","14.7","8","446","307","53","17","38","23","8","43","29","3","1","4","6","0","3","3","355","225","184","131","40","159","357","198","224","60","164","182","537","463","1029","216","43","0","1","0","3","48.3","11807","1546","4429","4656","2817","543","303","130","133","6373","32199","16767","277","187","89","281","138","224","7258","727","321","338","27.1","85","95"
"2023/2024","Crystal Palace",15,140,"17","7139","9203","3227","3704","3061","3550","701","1474","630","8205","972","284","30","58","337","391","95","46","33","6","26","212","146","245","83","17.3","14","432","282","46","28","35","30","11","41","34","1","2","0","4","0","3","3","416","227","213","144","59","178","330","152","237","75","162","165","581","508","1050","247","39","1","1","1","5","42.8","11714","1368","4102","4968","2774","432","415","209","165","6191","31178","15486","274","221","86","350","232","256","7070","616","296","293","27.6","61","127"
"2023/2024","Nott'ham Forest",16,140,"22","6488","8641","2963","3476","2611","3233","731","1417","607","7727","868","223","28","46","326","338","78","37","33","0","46","174","131","230","68","16.1","1","394","279","38","23","31","14","9","48","38","1","5","1","2","1","1","1","410","245","250","122","38","175","332","157","264","91","173","182","592","583","1010","239","51","2","3","0","3","40.3","11162","1459","4217","4550","2507","426","340","148","159","5535","29449","15901","313","215","79","291","146","199","6439","595","356","328","26.5","91","98"
"2023/2024","Everton",17,140,"11","6001","8312","2791","3278","2280","2858","772","1655","619","7327","945","224","27","38","419","422","99","83","14","1","40","190","159","287","93","16.3","6","476","338","44","17","44","18","15","32","19","3","0","9","0","1","0","0","414","244","207","151","56","190","398","208","260","84","176","207","621","456","1152","266","46","1","1","2","7","39.1","10773","1295","3536","4461","2878","452","305","135","151","5343","28424","14179","290","229","81","305","182","191","5945","613","362","313","27.4","60","126"
"2023/2024","Luton Town",18,140,"15","5141","7333","2309","2749","2005","2526","661","1539","556","6333","963","235","11","65","437","368","106","52","49","2","37","209","122","220","59","16.4","4","386","271","37","31","26","15","6","36","21","4","2","7","2","0","2","2","360","206","191","125","44","177","337","160","254","88","166","192","552","498","1052","240","36","0","0","1","1","38.6","9810","1346","3545","3835","2560","417","378","171","170","4702","28435","14092","318","215","99","310","179","199","5074","547","358","361","27.3","88","98"
"2023/2024","Burnley",19,140,"17","7925","10107","3591","4091","3437","3989","731","1520","632","9120","943","241","23","43","305","381","112","44","33","6","44","192","103","221","70","17.5","6","391","269","46","30","26","17","3","42","33","2","5","1","1","0","1","1","340","195","159","130","51","163","339","176","254","89","165","156","496","446","966","226","43","2","4","2","2","47.2","12378","1643","4581","5161","2736","406","387","165","178","7113","37157","19151","363","243","113","266","159","198","7837","621","312","383","25.3","95","94"
"2023/2024","Sheffield Utd",20,140,"7","5387","7647","2579","3085","2057","2599","591","1466","473","6671","939","226","15","29","235","388","73","27","33","6","37","197","113","190","53","18.4","5","309","222","29","16","24","13","5","19","11","1","2","3","2","0","3","3","413","229","214","140","59","176","383","207","296","96","200","195","608","573","963","252","68","2","3","3","1","37.1","10181","1520","4008","4056","2212","365","331","133","168","4701","23438","10849","186","157","64","285","168","189","5347","470","332","414","26.6","82","105"
